Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CD9,NO2,29/06/2017 00:00,65.40000,ug m-3,R
CD9,NO2,30/06/2017 00:00,41.90000,ug m-3,R
CD9,NO2,01/07/2017 00:00,39.50000,ug m-3,R
CD9,NO2,02/07/2017 00:00,34.90000,ug m-3,R
CD9,NO2,03/07/2017 00:00,59.30000,ug m-3,R
CD9,NO2,04/07/2017 00:00,89.20000,ug m-3,R
CD9,NO2,05/07/2017 00:00,93.10000,ug m-3,R
CD9,NO2,06/07/2017 00:00,122.40000,ug m-3,R
CD9,NO2,07/07/2017 00:00,62.60000,ug m-3,R
CD9,NO2,08/07/2017 00:00,50.10000,ug m-3,R
CD9,NO2,09/07/2017 00:00,105.70000,ug m-3,R
CD9,NO2,10/07/2017 00:00,60.30000,ug m-3,R
CD9,NO2,11/07/2017 00:00,86.30000,ug m-3,R
CD9,NO2,12/07/2017 00:00,60.10000,ug m-3,R
CD9,NO2,13/07/2017 00:00,110.70000,ug m-3,R
CD9,NO2,14/07/2017 00:00,40.70000,ug m-3,R
CD9,NO2,15/07/2017 00:00,66.60000,ug m-3,R
CD9,NO2,16/07/2017 00:00,36.60000,ug m-3,R
CD9,NO2,17/07/2017 00:00,71.90000,ug m-3,R
CD9,NO2,18/07/2017 00:00,78.50000,ug m-3,R
CD9,NO2,19/07/2017 00:00,93.70000,ug m-3,R
CD9,NO2,20/07/2017 00:00,67.60000,ug m-3,R
CD9,NO2,21/07/2017 00:00,80.50000,ug m-3,R
CD9,NO2,22/07/2017 00:00,89.60000,ug m-3,R
CD9,NO2,23/07/2017 00:00,65.40000,ug m-3,R
CD9,NO2,24/07/2017 00:00,33.20000,ug m-3,R
CD9,NO2,25/07/2017 00:00,53.70000,ug m-3,R
CD9,NO2,26/07/2017 00:00,88.10000,ug m-3,R
CD9,NO2,27/07/2017 00:00,79.30000,ug m-3,R
CD9,NO2,28/07/2017 00:00,76.00000,ug m-3,R
CD9,NO2,29/07/2017 00:00,87.30000,ug m-3,R
CD9,NO2,30/07/2017 00:00,61.40000,ug m-3,R
CD9,NO2,31/07/2017 00:00,78.90000,ug m-3,R
CD9,NO2,01/08/2017 00:00,81.70000,ug m-3,R
CD9,NO2,02/08/2017 00:00,78.10000,ug m-3,R
CD9,NO2,03/08/2017 00:00,73.10000,ug m-3,R
CD9,NO2,04/08/2017 00:00,79.90000,ug m-3,R
CD9,NO2,05/08/2017 00:00,47.50000,ug m-3,R
CD9,NO2,06/08/2017 00:00,73.90000,ug m-3,R
CD9,NO2,07/08/2017 00:00,80.50000,ug m-3,R
CD9,NO2,08/08/2017 00:00,48.00000,ug m-3,R
CD9,NO2,09/08/2017 00:00,46.10000,ug m-3,R
CD9,NO2,10/08/2017 00:00,60.60000,ug m-3,R
CD9,NO2,11/08/2017 00:00,83.00000,ug m-3,R
CD9,NO2,12/08/2017 00:00,38.40000,ug m-3,R
CD9,NO2,13/08/2017 00:00,52.80000,ug m-3,R
CD9,NO2,14/08/2017 00:00,108.10000,ug m-3,R
CD9,NO2,15/08/2017 00:00,60.80000,ug m-3,R
CD9,NO2,16/08/2017 00:00,87.90000,ug m-3,R
CD9,NO2,17/08/2017 00:00,76.30000,ug m-3,R
CD9,NO2,18/08/2017 00:00,66.70000,ug m-3,R
CD9,NO2,19/08/2017 00:00,49.50000,ug m-3,R
CD9,NO2,20/08/2017 00:00,62.90000,ug m-3,R
CD9,NO2,21/08/2017 00:00,70.60000,ug m-3,R
CD9,NO2,22/08/2017 00:00,75.90000,ug m-3,R
CD9,NO2,23/08/2017 00:00,77.90000,ug m-3,R
CD9,NO2,24/08/2017 00:00,68.80000,ug m-3,R
CD9,NO2,25/08/2017 00:00,99.70000,ug m-3,R
CD9,NO2,26/08/2017 00:00,80.50000,ug m-3,R
CD9,NO2,27/08/2017 00:00,70.90000,ug m-3,R
CD9,NO2,28/08/2017 00:00,106.20000,ug m-3,R
CD9,NO2,29/08/2017 00:00,74.30000,ug m-3,R
CD9,NO2,30/08/2017 00:00,49.80000,ug m-3,R
CD9,NO2,31/08/2017 00:00,88.20000,ug m-3,R
CD9,NO2,01/09/2017 00:00,69.50000,ug m-3,R
CD9,NO2,02/09/2017 00:00,86.40000,ug m-3,R
CD9,NO2,03/09/2017 00:00,66.20000,ug m-3,R
CD9,NO2,04/09/2017 00:00,84.60000,ug m-3,R
CD9,NO2,05/09/2017 00:00,74.60000,ug m-3,R
CD9,NO2,06/09/2017 00:00,62.70000,ug m-3,R
CD9,NO2,07/09/2017 00:00,92.00000,ug m-3,R
CD9,NO2,08/09/2017 00:00,88.30000,ug m-3,R
CD9,NO2,09/09/2017 00:00,63.00000,ug m-3,R
CD9,NO2,10/09/2017 00:00,63.50000,ug m-3,R
CD9,NO2,11/09/2017 00:00,68.00000,ug m-3,R
CD9,NO2,12/09/2017 00:00,71.50000,ug m-3,R
CD9,NO2,13/09/2017 00:00,65.60000,ug m-3,R
CD9,NO2,14/09/2017 00:00,58.90000,ug m-3,R
CD9,NO2,15/09/2017 00:00,61.00000,ug m-3,R
CD9,NO2,16/09/2017 00:00,49.20000,ug m-3,R
CD9,NO2,17/09/2017 00:00,47.50000,ug m-3,R
CD9,NO2,18/09/2017 00:00,47.20000,ug m-3,R
CD9,NO2,19/09/2017 00:00,73.00000,ug m-3,R
CD9,NO2,20/09/2017 00:00,116.40000,ug m-3,R
CD9,NO2,21/09/2017 00:00,113.30000,ug m-3,R
CD9,NO2,22/09/2017 00:00,103.90000,ug m-3,R
CD9,NO2,23/09/2017 00:00,92.40000,ug m-3,R
CD9,NO2,24/09/2017 00:00,84.60000,ug m-3,R
CD9,NO2,25/09/2017 00:00,99.50000,ug m-3,R
CD9,NO2,26/09/2017 00:00,89.50000,ug m-3,R
CD9,NO2,27/09/2017 00:00,102.30000,ug m-3,R
CD9,NO2,28/09/2017 00:00,112.50000,ug m-3,R
CD9,NO2,29/09/2017 00:00,107.20000,ug m-3,R
CD9,NO2,30/09/2017 00:00,104.40000,ug m-3,R
CD9,NO2,01/10/2017 00:00,68.90000,ug m-3,R
CD9,NO2,02/10/2017 00:00,62.90000,ug m-3,R
CD9,NO2,03/10/2017 00:00,64.00000,ug m-3,R
CD9,NO2,04/10/2017 00:00,86.90000,ug m-3,R
CD9,NO2,05/10/2017 00:00,38.90000,ug m-3,R
CD9,NO2,06/10/2017 00:00,63.50000,ug m-3,R
